loanId,userId,total,interest,monthlyPayment,balance,status,startDate,createdDate,updatedDate
2b32be2a-4a14-45dc-ac1d-260063b2dbca,940489b5-14dc-4f29-92ac-3996bc3f1293,33376.8,2.27,276.05,15155.91,DEFAULTED,8/3/2024,1/29/2024,6/27/2024
e2dc427b-459b-4003-915c-b3ef5801a56c,ede0907b-c13d-4d7d-93f9-7dce247fdcbb,27336.29,2.76,245.53,6234.43,ACTIVE,7/17/2024,8/21/2023,6/27/2024
2e03d075-e3a1-483f-8a43-5f091f742a16,b52f8acc-4eb0-4fa1-87de-428a61c9dd47,29993.59,2.94,266.09,22736.46,DEFAULTED,9/26/2024,9/16/2023,6/27/2024
fd418e12-8d20-4939-a3a5-f423f3b924eb,c1d5896d-9a90-49d2-b938-861fd6577640,29988.43,1.07,256.77,9662.53,DEFAULTED,7/12/2024,3/27/2024,6/27/2024
dd8283c4-ea46-47e7-88dd-2aafc5f2f2a1,f637cb61-0014-4666-807e-b2f031af5b0b,28450.18,2.31,283.01,17432.99,ACTIVE,11/6/2024,10/24/2023,6/27/2024
c1802e83-a0ba-43ac-813e-15f25aa972cf,9bc44e0e-0ec8-4f53-9ba1-452b495844ca,30961.64,1.63,207.18,12904.86,ACTIVE,9/17/2024,12/6/2023,6/27/2024
f16fa53d-cbee-4315-8d18-76803ab00ae8,07e512d1-8c73-4e61-970b-40f6d9ecef70,27762.31,2.81,244.59,6017.98,DEFAULTED,10/18/2024,4/8/2024,6/27/2024
5b0c6491-5131-4015-8ffa-8d80869ce59b,091f9b5e-8f0b-4602-ac34-b697e084e778,31338.51,2.63,271.67,9465.81,DEFAULTED,10/31/2024,6/30/2023,6/27/2024
82e81828-2b40-489a-b5f0-476190907508,41518662-b0b2-4813-a1e4-07e4d7e04808,28873.8,2.22,298.95,17574.76,DEFAULTED,10/4/2024,2/3/2024,6/27/2024
376a52cc-72e1-4fc1-ba75-f63a2c8e518b,e6024bf3-8773-4d4f-b06b-8e1f78810e59,31281.95,2.2,258.76,10535.86,DEFAULTED,8/16/2024,8/26/2023,6/27/2024
cddd0b7c-47ba-4ebf-8a64-476efe103331,99e1e9ad-98ad-4b24-b7ec-4c068abffea6,28749.45,2.26,242.76,22848.38,DEFAULTED,10/1/2024,9/22/2023,6/27/2024
bdeb34ec-8e3b-472d-8e51-b38d32f35b35,d4848e5f-6bbd-47ca-98c5-0f4cc34e4547,31202.46,1.25,246.3,24701.4,ACTIVE,7/11/2024,9/26/2023,6/27/2024
76d6aa8f-584b-462e-8bbd-d7f5e8f7d1e8,ec669890-cbf4-4649-b6db-3dad9a986a4d,30940.12,2.27,279.39,21987.02,DEFAULTED,10/17/2024,6/1/2023,6/27/2024
c7b288f3-cdc3-4632-8510-aaa70f8343c7,18246b44-9fe1-4bc3-932e-1bbfc492449f,28869.95,1.61,272.12,14520.11,ACTIVE,11/12/2024,7/3/2023,6/27/2024
9d4055a5-fd09-42e9-a830-7e3405330839,890a7cd9-94fd-422d-8ed7-fe91c4e1d446,31758.39,1.45,203.69,21534.35,DEFAULTED,8/7/2024,5/22/2024,6/27/2024
